Title,Year,Languages,Rating Value
Ant-Man,2015,[English],7.3
Captain America: The Winter Soldier,2014,[English;French],7.8
Mary Queen of Scots,2018,[English],6.9
Revolting Rhymes Part One,2016,[English;Swedish],7.7
The Glass Castle,2017,[English],7.2
Free Fire,2016,[English],6.4
Right on Track,2003,[English],6.6
Rise of the Guardians,2012,[English;French],7.3
Anna Karenina,2012,[English],8.1
